classes,VIS,NIR
Asfalto,0.1613268269,0.2175365294
Asfalto,0.1568873949,0.2108982036
Asfalto,0.1425771587,0.1904710215
Asfalto,0.1277183946,0.1684409141
Asfalto,0.1222194378,0.160003679
Asfalto,0.1167507727,0.1518153024
Asfalto,0.1133307058,0.1457712772
Asfalto,0.1118196427,0.1456613088
Asfalto,0.1199929781,0.1574909327
Asfalto,0.166517097,0.2292550921
Asfalto,0.1664796343,0.2293133063
Asfalto,0.1663432624,0.2288700365
Asfalto,0.166309771,0.2285700097
Asfalto,0.1663790028,0.2289142408
Asfalto,0.1663038051,0.2288758792
Asfalto,0.1662292856,0.2291413006
Asfalto,0.166167834,0.2289143037
Asfalto,0.1660204069,0.2283758158
Asfalto,0.166008455,0.2282663975
Solo umido,0.05730038641,0.2275351438
Solo umido,0.0574432026,0.2282335521
Solo umido,0.05718147637,0.2269814307
Solo umido,0.05719928945,0.2284053161
Solo umido,0.05684936522,0.2291929893
Solo umido,0.05686649707,0.2278646372
Solo umido,0.05688351006,0.2279574098
Solo umido,0.05674112475,0.2276995975
Solo umido,0.0567299426,0.2280548164
Solo umido,0.05680989504,0.2277835758
Brita,0.1385938963,0.1614299542
Brita,0.1381218377,0.1616567047
Brita,0.1381925078,0.1622144493
Brita,0.1384481129,0.1624256418
Brita,0.1387661591,0.1627932292
Brita,0.1388962468,0.1625916823
Brita,0.1392656583,0.162862953
Brita,0.1400664634,0.164171792
Brita,0.1406867863,0.1642714466
Brita,0.1416323224,0.1645100439
